encoded_feature,coefficient,absolute_coefficient,effect_direction,clean_feature,base_feature
num__son_giristen_beri_gun_sayisi,0.6569108412867835,0.6569108412867835,Churn riskini artırır,son_giristen_beri_gun_sayisi,son_giristen_beri_gun_sayisi
num__ust_uste_devamsizlik_sayisi,0.5928467404830764,0.5928467404830764,Churn riskini artırır,ust_uste_devamsizlik_sayisi,ust_uste_devamsizlik_sayisi
num__devamsizlik_orani,0.3409349658672961,0.3409349658672961,Churn riskini artırır,devamsizlik_orani,devamsizlik_orani
num__tamamlanan_odev_orani,-0.31873766613949683,0.31873766613949683,Churn riskini azaltır,tamamlanan_odev_orani,tamamlanan_odev_orani
num__kalan_borc,0.2139843413024506,0.2139843413024506,Churn riskini artırır,kalan_borc,kalan_borc
num__son_odeme_gecikme_gun_sayisi,0.1991749539013563,0.1991749539013563,Churn riskini artırır,son_odeme_gecikme_gun_sayisi,son_odeme_gecikme_gun_sayisi
num__kayitli_oldugu_hafta_sayisi,-0.18754858592938325,0.18754858592938325,Churn riskini azaltır,kayitli_oldugu_hafta_sayisi,kayitli_oldugu_hafta_sayisi
num__toplam_ders_saati,0.18657898635228776,0.18657898635228776,Churn riskini artırır,toplam_ders_saati,toplam_ders_saati
num__memnuniyet_skoru,-0.17021270917522932,0.17021270917522932,Churn riskini azaltır,memnuniyet_skoru,memnuniyet_skoru
cat__odeme_yontemi_Elden,-0.09751669241597144,0.09751669241597144,Churn riskini azaltır,odeme_yontemi_Elden,odeme_yontemi
num__toplam_ucret,0.09664807094865624,0.09664807094865624,Churn riskini artırır,toplam_ucret,toplam_ucret
cat__kurs_turu_Yapay Zeka,-0.07718568412051553,0.07718568412051553,Churn riskini azaltır,kurs_turu_Yapay Zeka,kurs_turu
num__odenen_tutar,-0.0766069278631168,0.0766069278631168,Churn riskini azaltır,odenen_tutar,odenen_tutar
cat__kurs_turu_Veri Bilimi,-0.0741994460666984,0.0741994460666984,Churn riskini azaltır,kurs_turu_Veri Bilimi,kurs_turu
cat__odeme_yontemi_Kredi Kartı,-0.055168382821770744,0.055168382821770744,Churn riskini azaltır,odeme_yontemi_Kredi Kartı,odeme_yontemi
num__haftalik_ders_saati,-0.050793609672651945,0.050793609672651945,Churn riskini azaltır,haftalik_ders_saati,haftalik_ders_saati
cat__kurs_turu_İngilizce,-0.04742176288345054,0.04742176288345054,Churn riskini azaltır,kurs_turu_İngilizce,kurs_turu
cat__kurs_turu_Web Geliştirme,0.04531788431146096,0.04531788431146096,Churn riskini artırır,kurs_turu_Web Geliştirme,kurs_turu
num__son_30_gun_ai_etkilesim_sayisi,0.04155796037939225,0.04155796037939225,Churn riskini artırır,son_30_gun_ai_etkilesim_sayisi,son_30_gun_ai_etkilesim_sayisi
num__kurs_suresi_hafta,0.04059302137442499,0.04059302137442499,Churn riskini artırır,kurs_suresi_hafta,kurs_suresi_hafta
num__son_30_gun_giris_sayisi,-0.03712071285392723,0.03712071285392723,Churn riskini azaltır,son_30_gun_giris_sayisi,son_30_gun_giris_sayisi
num__taksit_sayisi,0.034154669399959155,0.034154669399959155,Churn riskini artırır,taksit_sayisi,taksit_sayisi
num__devamsizlik_saati,-0.012309293209360323,0.012309293209360323,Churn riskini azaltır,devamsizlik_saati,devamsizlik_saati
cat__kurs_turu_Siber Güvenlik,0.004710181334072159,0.004710181334072159,Churn riskini artırır,kurs_turu_Siber Güvenlik,kurs_turu
cat__odeme_yontemi_Havale,0.0039062478126113964,0.0039062478126113964,Churn riskini artırır,odeme_yontemi_Havale,odeme_yontemi
