base_feature,importance_score,max_absolute_coefficient
son_giristen_beri_gun_sayisi,0.6569108412867835,0.6569108412867835
ust_uste_devamsizlik_sayisi,0.5928467404830764,0.5928467404830764
devamsizlik_orani,0.3409349658672961,0.3409349658672961
tamamlanan_odev_orani,0.31873766613949683,0.31873766613949683
kurs_turu,0.2488349587161976,0.07718568412051553
kalan_borc,0.2139843413024506,0.2139843413024506
son_odeme_gecikme_gun_sayisi,0.1991749539013563,0.1991749539013563
kayitli_oldugu_hafta_sayisi,0.18754858592938325,0.18754858592938325
toplam_ders_saati,0.18657898635228776,0.18657898635228776
memnuniyet_skoru,0.17021270917522932,0.17021270917522932
odeme_yontemi,0.1565913230503536,0.09751669241597144
toplam_ucret,0.09664807094865624,0.09664807094865624
odenen_tutar,0.0766069278631168,0.0766069278631168
haftalik_ders_saati,0.050793609672651945,0.050793609672651945
son_30_gun_ai_etkilesim_sayisi,0.04155796037939225,0.04155796037939225
kurs_suresi_hafta,0.04059302137442499,0.04059302137442499
son_30_gun_giris_sayisi,0.03712071285392723,0.03712071285392723
taksit_sayisi,0.034154669399959155,0.034154669399959155
devamsizlik_saati,0.012309293209360323,0.012309293209360323
