model,threshold,accuracy,precision,recall,f1_score
Logistic Regression,0.2,0.3862,0.2957,0.9761,0.4538
Logistic Regression,0.25,0.4525,0.3162,0.9426,0.4736
Logistic Regression,0.3,0.5162,0.3405,0.9091,0.4954
Logistic Regression,0.35,0.575,0.3682,0.8756,0.5184
Logistic Regression,0.4,0.625,0.3954,0.823,0.5342
Logistic Regression,0.45,0.6737,0.4319,0.7895,0.5584
Logistic Regression,0.5,0.695,0.4458,0.689,0.5414
Logistic Regression,0.55,0.7312,0.489,0.6364,0.553
Logistic Regression,0.6,0.7662,0.5495,0.5837,0.5661
Logistic Regression,0.65,0.7688,0.5714,0.4593,0.5093
Logistic Regression,0.7,0.785,0.6331,0.4211,0.5057
Random Forest,0.2,0.3162,0.2759,0.9952,0.432
Random Forest,0.25,0.3825,0.295,0.9809,0.4535
Random Forest,0.3,0.4412,0.3093,0.9234,0.4634
Random Forest,0.35,0.54,0.3468,0.8612,0.4945
Random Forest,0.4,0.6212,0.3907,0.8038,0.5258
Random Forest,0.45,0.6863,0.4397,0.7321,0.5494
Random Forest,0.5,0.7388,0.5,0.6268,0.5563
Random Forest,0.55,0.7438,0.5103,0.4737,0.4913
Random Forest,0.6,0.7625,0.5798,0.3301,0.4207
Random Forest,0.65,0.7612,0.6154,0.2297,0.3345
Random Forest,0.7,0.7525,0.6486,0.1148,0.1951
Gradient Boosting,0.2,0.6538,0.4128,0.7703,0.5376
Gradient Boosting,0.25,0.7087,0.4618,0.6938,0.5545
Gradient Boosting,0.3,0.7362,0.4962,0.622,0.552
Gradient Boosting,0.35,0.7512,0.525,0.5024,0.5134
Gradient Boosting,0.4,0.7588,0.5488,0.4306,0.4826
Gradient Boosting,0.45,0.76,0.5702,0.3301,0.4182
Gradient Boosting,0.5,0.7638,0.6087,0.2679,0.3721
Gradient Boosting,0.55,0.7662,0.6667,0.2105,0.32
Gradient Boosting,0.6,0.7675,0.7447,0.1675,0.2734
Gradient Boosting,0.65,0.7612,0.75,0.1292,0.2204
Gradient Boosting,0.7,0.7612,0.875,0.1005,0.1803
XGBoost,0.2,0.65,0.4063,0.7368,0.5238
XGBoost,0.25,0.7,0.4492,0.6555,0.5331
XGBoost,0.3,0.7312,0.4885,0.6124,0.5435
XGBoost,0.35,0.7438,0.5097,0.5024,0.506
XGBoost,0.4,0.7538,0.537,0.4163,0.469
XGBoost,0.45,0.7588,0.5597,0.3589,0.4373
XGBoost,0.5,0.7638,0.5926,0.3062,0.4038
XGBoost,0.55,0.7588,0.5976,0.2344,0.3368
XGBoost,0.6,0.7625,0.6792,0.1722,0.2748
XGBoost,0.65,0.7588,0.7105,0.1292,0.2186
XGBoost,0.7,0.7512,0.7273,0.0766,0.1385
