ogrenci_id,yas,egitim_durumu,kurs_turu,kurs_suresi_hafta,kayitli_oldugu_hafta_sayisi,haftalik_ders_saati,toplam_ders_saati,devamsizlik_saati,devamsizlik_orani,ust_uste_devamsizlik_sayisi,toplam_ucret,odenen_tutar,kalan_borc,taksit_sayisi,son_odeme_gecikme_gun_sayisi,odeme_yontemi,son_giristen_beri_gun_sayisi,son_30_gun_giris_sayisi,son_30_gun_ai_etkilesim_sayisi,tamamlanan_odev_orani,memnuniyet_skoru,is_churn
1,24,Çalışan,Web Geliştirme,24,24,6,144,20,0.1389,2,18000,5035,12965,9,28,Havale,31,14,5,1.0,3.1,0
2,37,Lise,İngilizce,16,4,4,16,4,0.25,0,12000,7857,4143,2,41,Havale,52,10,5,0.40555542115097476,3.8,1
3,32,Üniversite,İngilizce,16,9,4,36,3,0.0833,2,24000,18909,5091,3,13,Kredi Kartı,54,11,3,0.5474294624964543,3.3,1
4,28,Lise,Veri Bilimi,24,1,8,8,2,0.25,0,24000,19400,4600,6,10,Havale,24,8,4,0.6136243774703015,3.7,0
5,25,Üniversite,Yapay Zeka,24,1,8,8,2,0.25,2,12000,12000,0,3,10,Havale,20,9,5,0.5610858705914875,4.1,0
6,38,Mezun,Siber Güvenlik,24,20,8,160,101,0.6312,2,36000,36000,0,6,39,Havale,26,8,7,0.7777311475300422,3.6,0
7,24,Mezun,Web Geliştirme,24,19,6,114,59,0.5175,0,24000,18032,5968,2,23,Kredi Kartı,10,6,4,0.7310760668772653,4.4,0
8,43,Üniversite,Yapay Zeka,24,3,8,24,9,0.375,5,18000,5768,12232,3,21,Elden,47,10,2,0.8173840776900536,4.5,0
9,36,Mezun,Yapay Zeka,24,10,8,80,22,0.275,0,30000,30000,0,2,20,Kredi Kartı,0,9,4,0.8439293664783646,4.1,0
10,40,Lise,Veri Bilimi,24,12,8,96,28,0.2917,4,36000,33678,2322,12,5,Havale,18,9,2,0.8173548833958376,4.1,0
11,28,Çalışan,Siber Güvenlik,24,18,8,144,64,0.4444,1,18000,16336,1664,3,13,Elden,31,7,7,1.0,4.3,0
12,28,Çalışan,Web Geliştirme,24,14,6,84,23,0.2738,2,30000,16296,13704,3,8,Kredi Kartı,7,9,7,0.9132027219222765,4.7,0
13,41,Üniversite,Siber Güvenlik,24,10,8,80,23,0.2875,2,30000,18585,11415,2,34,Havale,18,12,5,0.6499177854985587,2.2,0
14,38,Mezun,Veri Bilimi,24,10,8,80,9,0.1125,0,48000,21295,26705,2,43,Elden,54,10,3,1.0,3.0,0
15,21,Üniversite,İngilizce,16,2,4,8,1,0.125,1,18000,14726,3274,3,35,Kredi Kartı,15,14,9,0.5672628687587582,3.2,0
16,25,Lise,Yapay Zeka,24,24,8,192,39,0.2031,1,48000,25637,22363,2,24,Kredi Kartı,57,10,6,0.6025140376457063,2.7,1
17,41,Üniversite,Web Geliştirme,24,1,6,6,0,0.0,0,18000,14933,3067,6,14,Elden,34,10,7,0.7178337198667445,3.3,0
18,20,Çalışan,İngilizce,16,14,4,56,12,0.2143,5,24000,11161,12839,6,44,Kredi Kartı,1,11,6,0.8812945575443224,3.9,0
19,39,Mezun,Veri Bilimi,24,15,8,120,21,0.175,0,24000,21302,2698,9,27,Kredi Kartı,11,14,5,0.7644276486284712,3.5,0
20,38,Lise,Siber Güvenlik,24,8,8,64,24,0.375,1,18000,12972,5028,6,13,Elden,28,12,7,0.6665241779175487,3.5,1
21,19,Çalışan,Yapay Zeka,24,3,8,24,11,0.4583,2,30000,29036,964,3,12,Havale,9,13,4,0.6686313572110374,4.5,0
22,41,Mezun,Web Geliştirme,24,18,6,108,74,0.6852,1,24000,24000,0,3,40,Elden,21,8,3,0.9522676938398215,4.1,0
23,29,Çalışan,İngilizce,16,9,4,36,12,0.3333,5,18000,12974,5026,6,30,Kredi Kartı,33,10,8,0.6857339220999413,3.3,0
24,23,Mezun,İngilizce,16,16,4,64,16,0.25,0,12000,11895,105,6,4,Kredi Kartı,57,15,9,0.8575105140700974,3.2,0
25,19,Mezun,Yapay Zeka,24,21,8,168,20,0.119,1,18000,17864,136,2,18,Kredi Kartı,20,5,1,0.2071408015424104,3.1,0
26,38,Lise,Siber Güvenlik,24,15,8,120,4,0.0333,2,24000,15472,8528,12,7,Havale,36,10,2,0.2928043116239426,5.0,0
27,18,Üniversite,Veri Bilimi,24,5,8,40,15,0.375,0,24000,17160,6840,2,12,Havale,4,11,2,0.9831821712845774,2.8,0
